City,Country,Race,Date,StartTime,Participation,Distance,ElevationGain,ElevationLoss,AidStations,Participants
Castleton,United Kingdom,Millstone 100,2021-09-03,19:00:00,solo,166.9,4520,-4520,10,150
Chamonix,France,UTMB®,2021-08-27,17:00:00,Solo,170.7,9930,-9930,11,2300
vielle-Aure,France,Ultra Tour 160,2021-08-20,05:00:00,solo,167,9980,-9980,13,600
Asenovgrad,Bulgaria,PERSENK ULTRA,2021-08-20,18:00:00,solo,164,7490,-7500,13,150
ulukisla,Turkey,100 Mile,2021-08-20,18:00:00,solo,159.9,100,-100,12,0
Münster,Switzerland,160KM,2021-08-15,17:00:00,solo,159.9,9850,-9850,15,300
Folldal,Norway,Salomon Rondane 100,2021-08-14,07:00:00,solo,163.8,5460,-5460,5,0
Spa,Belgium,160KM,2021-08-14,07:00:00,solo,163.9,4630,-4660,8,200
Beaupre,Canada,QMT-100-MILE,2021-08-13,22:00:00,solo,158.9,6410,-6240,13,120
LINDOME,Sweden,BBUT - 24 loops,2021-08-07,10:00:00,solo,163.7,3100,-3100,23,100
farnham,United Kingdom,Centurion North Downs Way 100,2021-08-07,06:00:00,solo,165.2,3130,-3170,13,300
Brecon,United Kingdom,Beacons 100,2021-08-06,20:00:00,Solo,164.8,7050,-7050,5,50
Iznik,Turkey,160 K,2021-08-06,18:00:00,solo,149.4,2930,-3040,12,100
Fieberbrunn,Austria,KAT100miles,2021-08-05,18:00:00,solo,173.9,9980,-9980,15,170
Terskol,Russia,ElbrusWorldRace,2021-07-30,00:00:00,Solo,169.9,9010,-9010,0,120
Hudson,United States,Burning River 100 Mile,2021-07-24,04:00:00,solo,163.7,2700,-2700,14,250
Ystad,Sweden,The Gax 100 miles,2021-07-24,00:00:00,solo,162.3,1510,-1510,3,75
Saluzzo,Italy,100 Miglia Monviso,2021-07-23,21:00:00,solo,168.8,8380,-8380,17,300
Ystad,Sweden,The Gax 100 miles Tuesday,2021-07-20,00:00:00,solo,162.3,1500,-1500,3,50
Carsoncity,United States,100 Mile,2021-07-17,05:00:00,solo,161.1,6170,-6160,7,300
Grenoble,France,Ut4M 160 Xtrem,2021-07-16,18:00:00,Solo,179.1,11290,-11350,17,0
Grenoble,France,Ut4M 160 Challenge,2021-07-15,08:00:00,solo,173.1,11810,-11710,12,0
Brisbane,Australia,Brisbane Trail Ultra 100 mile,2021-07-10,02:00:00,solo,160.5,7580,-7610,7,50
Wendover,United Kingdom,Wendover Woods 100,2021-07-09,08:00:00,solo,168,6610,-6600,19,120
PortMacquarie,Australia,160 Km (100 Mile),2021-07-09,20:00:00,solo,163.2,8650,-8630,13,100
Äkäslompolo,Finland,160K,2021-07-09,12:00:00,solo,164.3,4020,-4100,8,250
Oyonnax,France,Ultra 01 170 KM,2021-07-09,18:00:00,solo,174.9,7590,-7590,15,500
Vielha,Spain,VDA,2021-07-09,18:00:00,solo,162.9,10690,-10690,14,1500
Frankenmarkt,Austria,24 LOOPS,2021-07-03,09:00:00,solo,160.7,2570,-2570,24,200
Auburn,United States,Western States Endurance Run,2021-06-26,05:00:00,solo,161,5850,-7360,20,369
Swanage,United Kingdom,Jurassic Coast 100M,2021-06-19,08:00:00,solo,168.2,4740,-4680,9,100
Loudonville,United States,Mohican 100 Mile Trail Run,2021-06-19,05:00:00,solo,158.9,3700,-3700,19,0
Percé,Canada,100 miles,2021-06-19,05:00:00,solo,159,4130,-4130,21,40
PiatraFântânele,Romania,VIA TRANSILVANICA ULTRAMARATON,2021-06-18,18:00:00,solo,161.8,5410,-4950,8,50
Seia,Portugal,100 Milhas OMD,2021-06-11,16:00:00,solo,159.2,7330,-7330,9,85
Seia,Portugal,OH MEU DEUS 160 TEAM,2021-06-11,16:00:00,team,159.2,7330,-7330,9,5
Hveragerdi,Iceland,100miles,2021-06-04,14:00:00,solo,161.7,5530,-5550,10,200
SVOLVÆR,Norway,100 Miles,2021-06-04,12:00:00,solo,165,7046,-7047,10,150
Melgaço,Portugal,TPG 168k Race of the 4 Castles,2021-06-03,16:00:00,solo,166.2,9360,-8540,6,0
chester,United Kingdom,Chester Ultra 100,2021-05-29,06:00:00,solo,167,1540,-1550,10,150
Waimes,Belgium,GT160,2021-05-29,04:00:00,solo,165.3,6200,-6200,0,200
FortWilliam,United Kingdom,WHW & Ben Nevis Race,2021-05-29,11:00:00,solo,165.4,5110,-5080,9,30
Hatch,United States,Bryce Canyon 100 Mile,2021-05-28,05:00:00,solo,157.1,4310,-4310,15,300
Rumia,Poland,PORANEK NA PLAZY 160 km+,2021-05-28,12:00:00,solo,163.3,3020,-3030,7,200
Kuusamo,Finland,166K,2021-05-28,14:00:00,solo,169.6,3910,-3940,7,250
VerdensEnde,Norway,Soria Moria til Verdens Ende,2021-05-22,10:00:00,solo,163,4230,-4310,6,150
Pretoria,South Africa,100m,2021-05-21,12:00:00,solo,156.8,6300,-6540,14,0
KasinkaMala,Poland,UTM 170,2021-05-21,17:00:00,solo,171.8,8640,-8640,8,50
HanmerSprings,New Zealand,100mile,2021-05-14,10:00:00,solo,0,0,-0,16,0
Jonsered,Sweden,Ultra-Trail®,2021-05-13,20:00:00,solo,169.2,4060,-4060,9,50
London,United Kingdom,Centurion Thames Path 100,2021-05-08,09:00:00,solo,161.3,3210,-3160,13,300
Hawker,Australia,Hubert 100M,2021-05-08,10:00:00,solo,157.7,2430,-2430,8,150
Saltaire,United Kingdom,Dales High Way + High Cup Nick,2021-05-08,08:30:00,solo,166.2,4430,-4380,8,200
Litochoro,Greece,Gulag-100,2021-05-07,12:00:00,solo,167.1,14260,-14260,4,40
Zalesie,Poland,100 miles of Beskid Wyspowy,2021-05-01,06:00:00,solo,164.5,6610,-6620,8,100
yibin,China,Bó Trail 170K,2021-05-01,09:00:00,solo,161.7,8440,-8440,13,100
Ishikawa,Japan,Yarikan100,2021-05-01,06:00:00,solo,164.7,8700,-8700,22,50
Hayama,Japan,4th Sengenyama 100 (mile),2021-04-24,05:00:00,solo,166.4,6110,-6110,8,50
Fuji,Japan,100 mile,2021-04-23,11:00:00,solo,161.9,7340,-7380,4,80
Tamba,Japan,Tamba 100 Adventure Trail,2021-04-23,06:00:00,solo,162.7,9200,-9200,13,100
Underberg,South Africa,UTD 160,2021-04-23,10:00:00,solo,171.6,5160,-6500,12,0
Ningbo,China,100Mile,2021-04-16,14:00:00,solo,161,7060,-7060,13,150
Virgin,United States,Zion 100,2021-04-10,05:00:00,solo,160.8,2830,-2880,15,250
SanMartinDeLosAndes,Argentina,100 Miles,2021-04-09,10:00:00,solo,163.7,8140,-8140,15,280
jinan,China,168km,2021-04-09,16:00:00,solo,161.5,10810,-10790,16,100
QUZHOU,China,QLG168,2021-04-02,16:30:00,solo,168,10740,-10740,10,10
NA,Costa Rica,Volcano 100 Millas,2021-03-30,06:30:00,solo,160.5,6440,-6560,13,50
Syracuse,United States,100 mile,2021-03-26,10:00:00,Solo,162,2200,-2200,16,400
Kullaberg,Sweden,Kullamannen 100 miles,2021-03-26,09:00:00,solo,163.6,1910,-1930,4,600
Cromwell,New Zealand,100 Mile,2021-03-20,06:00:00,solo,161.4,9460,-9470,12,50
Tarragona,Spain,Gran Trail Catalunya,2021-03-05,22:00:00,solo,169.8,5160,-5160,13,50
HongKong,"Hong Kong, China",V162 Virtual,2021-02-27,00:00:00,solo,166.7,7700,-7700,0,200
NA,United States,100M,2021-02-26,00:00:00,solo,0,0,-0,0,0
HongKong,"Hong Kong, China",3-day Race Virtual,2021-02-26,08:00:00,solo,165.9,8320,-8340,0,100
Örebro,Sweden,Storstenshöjden 100 miles,2021-02-19,06:00:00,solo,168.4,11550,-11530,0,50
Rotorua,New Zealand,100 Miler,2021-02-13,04:00:00,solo,165.4,5510,-5520,14,300
Huntsville,United States,100 Mile,2021-02-06,06:00:00,solo,160.9,2200,-2200,19,500
Goodyear,United States,100 Miles,2021-01-16,07:00:00,solo,161.8,2660,-2670,16,600
HanmerSprings,New Zealand,The Great Southern Alps Miler,2021-01-15,07:00:00,solo,160.3,3180,-3300,8,1
Bogor,Indonesia,UTCL 100 Miles,2021-01-09,06:00:00,solo,161,6420,-6410,18,30
SanMartíndelosAndes,Argentina,160 Km,2012-12-12,00:00:00,solo,160,9000,-9000,0,0
GoringOnThames,United Kingdom,Centurion Autumn 100,2012-11-24,00:00:00,solo,162.4,2130,-2140,0,0
UstinadLabem,Czech Republic,170 Km,2012-11-23,00:00:00,solo,170,7300,-7200,24,0
NA,United States,CHIMERA 100 MILES,2012-11-17,00:00:00,solo,155,6520,-6520,0,0
Patonga,Australia,100 MILES,2012-11-10,00:00:00,Solo,173.7,6500,-6500,0,0
Shawnee,United States,OZARK 100 MILE ENDURANCE RUN,2012-11-03,00:00:00,solo,161,4500,-4500,0,0
Sylacauga,United States,PINHOTI 100 MILES,2012-11-03,00:00:00,solo,161.9,4930,-5030,0,0
Bandera,United States,100 Mile,2012-10-27,00:00:00,solo,161,4400,-4400,0,0
FortMcDowell,United States,100 Miles,2012-10-27,00:00:00,solo,162.9,1960,-1960,0,0
NA,United Kingdom,CAESAR'S CAMP 100 MILE ULTRARACE,2012-10-20,00:00:00,solo,161,4630,-4630,0,0
Loja,Spain,ULTIMA FRONTERA 166,2012-10-20,00:00:00,solo,167,4820,-4820,0,0
Haidou,Greece,100 miles,2012-10-19,00:00:00,solo,165.6,6965,-6965,0,0
SaintDenis,France,Le Grand Raid De La Réunion,2012-10-18,00:00:00,solo,168.9,10982,-10952,0,0
NA,United States,OIL CREEK 100 MILES,2012-10-13,00:00:00,solo,162.3,5420,-5420,0,0
Fontanafredda,Italy,MAGREDI MOUNTAIN TRAIL 100 MI (MMT 100 MILE),2012-10-12,00:00:00,solo,162,7000,-7000,0,0
NA,United States,100 Mile,2012-10-06,00:00:00,solo,0,0,-0,0,0
Swoope,United States,Grindstone 100,2012-10-05,00:00:00,solo,163,7071,-7071,0,0
NA,United States,RIO DEL LAGO 100 MILES,2012-09-29,00:00:00,solo,165.9,3300,-3300,0,0
Smithfield,United States,BEAR 100,2012-09-28,00:00:00,solo,161,6865,-6865,0,0
Pine,United States,MOGOLLON MONSTER 100,2012-09-28,00:00:00,solo,170.6,7010,-7010,0,0
NA,United States,100M,2012-09-22,00:00:00,solo,161.6,6100,-6100,0,0
Ashland,United States,PINE TO PALM 100 MILE ENDURANCE RUN,2012-09-15,00:00:00,solo,161,6100,-6100,0,0
NA,Australia,GLASSHOUSE - 100 miles,2012-09-08,00:00:00,solo,160.5,3075,-3075,0,0
NA,Canada,HALIBURTON FOREST TRAIL RACE - 100 miles,2012-09-08,00:00:00,solo,160.9,3120,-3120,0,0
SaintNabord,France,160 Km,2012-09-08,00:00:00,solo,156,7300,-7300,0,0
628-3TOKIWAKAMAKURA,Japan,100 Miles,2012-09-08,00:00:00,solo,160,6400,-6400,0,0
NA,United States,PLAIN 100 MILE ENDURANCE RUN,2012-09-08,00:00:00,solo,161,7850,-7850,0,0
Lethbridge,Canada,LOST SOUL ULTRA 100 MILES,2012-09-07,00:00:00,solo,161.1,5535,-5535,0,0
Lutsen,United States,SUPERIOR SAWTOOTH 100 MILE TRAIL RUN,2012-09-07,00:00:00,solo,165,6100,-6400,0,0
NA,United States,WASATCH FRONT 100 MILE ENDURANCE RUN,2012-09-07,00:00:00,solo,161,8215,-7965,0,0
NA,United States,CASCADE CREST 100 MILE ENDURANCE RUN,2012-08-25,00:00:00,solo,161,6700,-6700,0,0
vielle-Aure,France,GRP160 Ultra,2012-08-24,00:00:00,solo,160.7,9661,-9661,0,0
Leadville,United States,100 MILE TRAIL RUN,2012-08-18,00:00:00,solo,0,0,-0,0,0
farnham,United Kingdom,Centurion North Downs Way 100,2012-08-11,00:00:00,solo,161,3030,-3070,0,0
NA,United States,HEADLANDS HUNDRED 100 MILE ENDURANCE RUN,2012-08-04,00:00:00,solo,161,6120,-6120,0,0
Hudson,United States,100 Mile,2012-07-28,00:00:00,solo,161,2470,-2350,0,0
NA,Italy,ADAMELLO SUPER TRAIL,2012-07-27,00:00:00,solo,160,9100,-8180,0,0
Bergen,Germany,100 Mile,2012-07-27,00:00:00,Solo,160,7500,-7500,0,0
NA,United Kingdom,LAKELAND 100,2012-07-26,00:00:00,solo,161,6300,-6300,0,0
Arcadia,United States,Angeles Crest 100 Mile Endurance Run,2012-07-21,00:00:00,solo,160.8,6350,-7770,0,0
NA,Germany,STUNT 100,2012-07-21,00:00:00,solo,161.5,3860,-3860,0,0
WestWindsor,United States,100M,2012-07-21,00:00:00,solo,161,4290,-4290,0,0
Otaki,Japan,100 Miles,2012-07-15,00:00:00,solo,155,4200,-4200,0,0
Beasain,Spain,Ehunmilak Ultra-Trail®,2012-07-13,00:00:00,solo,168,11000,-11000,0,0
NA,United States,HARDROCK 100,2012-07-13,00:00:00,solo,161.8,10365,-10365,0,0
Ordino,Andorra,ANDORRA RONDA DELS CIMS,2012-07-06,00:00:00,solo,170,11000,-11000,0,0
NA,Poland,TRANSJURA - BASIC,2012-07-06,00:00:00,solo,170,3500,-3500,0,0
Worthing,United Kingdom,Centurion South Downs Way 100,2012-06-30,00:00:00,solo,161,4000,-4000,0,0
NA,United States,BLACK HILLS 100 - 100 MILES,2012-06-23,00:00:00,solo,161,4950,-4950,0,0
NA,United Kingdom,100 Miles,2012-06-23,00:00:00,solo,155,5466,-5466,0,0
Auburn,United States,Western States Endurance Run,2012-06-23,00:00:00,solo,161,5510,-7000,0,0
Carsoncity,United States,100 Mile,2012-06-21,00:00:00,solo,161,6030,-6030,0,0
Sheridan,United States,100M,2012-06-15,00:00:00,solo,161.3,5500,-5500,0,0
NA,Italy,GRAND TRAIL 3V,2012-06-15,00:00:00,solo,160,9500,-9500,0,0
Oceanside,United States,San Diego 100,2012-06-09,00:00:00,solo,160.9,4790,-4790,0,0
Castielfabib,Spain,UTR 170K,2012-06-08,00:00:00,solo,170,6800,-6800,0,0
LaGrange,United States,100 Mile,2012-06-02,00:00:00,solo,161.9,2682,-2682,0,0
NA,United Kingdom,LDWA - THE VALLEYS 100,2012-06-02,00:00:00,solo,161,4000,-4000,0,0
Loudonville,United States,THE NORTH FACE MOHICAN TRAIL 100M,2012-06-02,00:00:00,solo,161,3425,-3425,0,0
NA,United States,OLD DOMINION 100 MILE,2012-06-02,00:00:00,solo,161,4270,-4270,0,0
Ancaster,Canada,SULPHUR SPRINGS 100 MILES,2012-05-26,00:00:00,solo,161,3220,-3220,0,0
Fuji,Japan,UTMF,2012-05-18,00:00:00,solo,156,9164,-9164,10,0
NA,United States,MASSANUTTEN MOUNTAIN TRAILS 100 MILE RUN,2012-05-12,00:00:00,solo,163.8,6100,-6100,0,0
allinge,Denmark,100 Miles,2012-05-11,00:00:00,solo,161,4000,-4000,0,0
Virgin,United States,100 Mile,2012-05-11,00:00:00,solo,161,2700,-2700,0,0
NA,United States,SALT FLATS 100,2012-04-27,00:00:00,solo,161,3200,-3200,0,0
Täby,Sweden,TEC 100 Miles,2012-04-14,00:00:00,solo,160.9,2400,-2400,0,0
NA,United States,UMSTEAD 100,2012-03-31,00:00:00,solo,161,2450,-2450,0,0
Kennewick,United States,100 Mile,2012-03-30,00:00:00,solo,161,4300,-4300,0,0
Syracuse,United States,100 Mile,2012-03-24,00:00:00,solo,161,3600,-3600,0,0
Cromwell,New Zealand,100 Mile,2012-03-24,00:00:00,solo,161,8000,-8000,0,0
BerrysCreek,Australia,100 Mile Individual,2012-03-17,00:00:00,solo,160,7100,-7100,0,0
London,United Kingdom,Centurion Thames Path 100,2012-03-03,00:00:00,solo,161,1600,-1600,0,0
NA,Germany,RUN2KILL,2012-02-24,00:00:00,solo,161,4000,-4000,0,0
NA,United States,IRON HORSE 100M,2012-02-10,00:00:00,solo,161,2400,-2400,0,0
Huntsville,United States,100 Mile,2012-02-04,00:00:00,solo,161,1800,-1800,0,0
NA,United States,HURT 100 MILE ENDURANCE RUN,2012-01-14,00:00:00,solo,161,7620,-7620,0,0
Shenzhen,China,UTSZ 100 miles,2020-12-26,04:30:00,solo,162.6,6610,-6630,8,50
Luodian,China,Luodian168KM,2020-12-25,14:00:00,solo,167.7,9770,-9770,15,50
PereslavlZalesskiy,Russia,Valhalla Race,2020-12-19,16:00:00,solo,167.5,1200,-1200,10,150
ainhasofet,Israel,sovev emek 166km,2020-12-10,06:00:00,Solo,172.9,3840,-3840,18,300
FallsofRough,United States,Falls 100 - 100 Mile,2020-12-05,07:00:00,solo,164.5,4310,-4310,24,250
Pelham,United States,100 Mile,2020-12-04,12:00:00,solo,161.9,7610,-7610,16,200
ORIZABA,Mexico,SKY ULTRA PICO MX 100M,2020-12-04,00:01:00,solo,160.2,8660,-8660,15,75
Yichang,China,UTTG,2020-11-26,18:00:00,solo,170.8,10470,-10320,13,200
SanDiego,United States,100 Miler,2020-11-21,05:00:00,solo,160.9,2590,-2590,5,0
Dujiangyan,China,DPT,2020-11-20,18:00:00,solo,157.8,9280,-9280,12,0
Hayama,Japan,Sengenyama 100,2020-11-14,05:00:00,solo,166.4,6100,-6100,4,50
Ningbo,China,100Mile - November,2020-11-13,14:00:00,solo,160.5,7060,-7060,13,150
Sylacauga,United States,Pinhoti 100,2020-11-07,07:00:00,solo,155,4060,-4180,17,250
OakHill,United States,Rim to River 100,2020-11-07,06:30:00,solo,160.9,3760,-3750,8,250
Vienna,United States,100mi,2020-11-07,07:00:00,solo,161.4,1690,-1690,21,0
ChiangMai,Thailand,Pong Yaeng Trail 166,2020-11-06,10:00:00,solo,167.5,8280,-8060,14,200
FortMcDowell,United States,100 Miles,2020-10-31,06:00:00,solo,160.5,1720,-1720,26,800
Loudonville,United States,Mohican 100 Mile Trail Run,2020-10-31,05:00:00,solo,156,3630,-3620,19,0
Kannonkoski,Finland,160 km,2020-10-30,19:00:00,solo,160.3,2110,-2110,5,0
ChomThong,Thailand,Inthanon 6,2020-10-30,10:00:00,solo,159.6,7340,-7340,15,500
Bandera,United States,100 Mile,2020-10-24,05:00:00,solo,162.4,3500,-3500,20,550
PenhasdaSaúde,Portugal,EA Penhas Manteiga 2020,2020-10-23,11:00:00,solo,157.8,6910,-7600,0,80
Norton,United States,100 Mile,2020-10-17,08:00:00,solo,157.5,5610,-5610,16,100
qinhuangdao,China,168K,2020-10-17,04:00:00,solo,162,9320,-9070,14,100
Davenport,United States,100 Mile,2020-10-16,08:00:00,solo,167.5,4310,-4320,19,0
Hamar,Norway,Åkersætra 666 m.o.h.,2020-10-10,08:00:00,solo,163.2,2970,-3360,0,50
GoringOnThames,United Kingdom,Centurion Autumn 100,2020-10-10,09:00:00,solo,161.5,2060,-2060,16,250
NewIpswitch,United States,Midstate Massive Ultra Trail,2020-10-10,00:00:00,solo,163.6,3720,-3980,16,125
Täby,Sweden,TEC 100 Miles,2020-10-08,10:00:00,solo,160.7,1610,-1610,13,180
Brisbane,Australia,Brisbane Trail Ultra 100 mile,2020-10-03,05:00:00,solo,160.4,7550,-7590,7,50
EPERNAY,France,P'tiot Sparnatrail,2019-11-10,07:45:00,solo,33.3,750,-750,1,1800
Zhaotong,China,KINETIK 165K,2020-10-02,19:00:00,solo,164.1,7440,-7090,13,80
Barnstaple,United Kingdom,North Coast 110M,2020-10-02,07:00:00,solo,174.5,5570,-5540,8,50
Rettert,Germany,23 Loops,2020-10-02,20:00:00,solo,157.2,3060,-3060,23,200
Melgaço,Portugal,TPG 160k Race of the 4 Castles,2020-10-02,07:00:00,solo,167.4,8010,-7200,5,0
CastroCaldelas,Spain,Spain Backyard Ultra  24 Loops,2020-09-26,10:00:00,solo,161.1,6890,-6890,23,150
Smithfield,United States,Bear 100 Endurance Trail Race,2020-09-25,06:00:00,solo,162.7,6460,-6130,13,300
Thisted,Denmark,Cold Hawaii Ultra 100 miles,2020-09-25,18:00:00,solo,162.6,2000,-2010,6,50
Älmhult,Sweden,"Mossarun 2020, 24h/100 miles",2020-09-19,12:00:00,solo,171.8,3940,-3950,0,50
Westcliffe,United States,100-Mile,2020-09-19,04:00:00,solo,168.2,5910,-5910,13,300
Cardiff,United Kingdom,Dragon 100,2020-09-12,18:00:00,solo,165,3560,-3550,11,200
Gentofte,Denmark,GUUT100MILES+,2020-09-12,09:00:00,Solo,167.4,1610,-1620,1,20
NA,United States,100 Mile,2020-09-12,00:00:00,solo,0,0,-0,0,0
Wellsboro,"PA, United States",100Miles,2020-09-12,00:00:00,solo,0,0,-0,0,0
RADKÓW,Poland,Challange 158,2020-09-11,05:00:00,solo,163.9,5700,-5700,11,50
London,United Kingdom,Centurion Thames Path 100,2020-09-05,09:00:00,solo,161.3,3160,-3110,13,300
LeBouveret,Switzerland,170,2020-09-03,10:00:00,solo,167,11140,-12910,15,400
ulukisla,Turkey,100 Mile,2020-08-29,18:00:00,solo,160.1,2770,-2770,15,0
Hudson,United States,100 Mile,2020-08-22,04:00:00,solo,163.6,2700,-2700,14,250
NA,United Kingdom,110 Mi,2020-08-22,00:00:00,solo,169.9,3760,-3720,12,150
Zalesie,Poland,100 miles of Beskid Wyspowy,2020-08-21,07:00:00,solo,161.6,6510,-6510,8,100
Asenovgrad,Bulgaria,PERSENK ULTRA,2020-08-21,18:00:00,solo,164,7490,-7500,13,150
Oyonnax,France,Ultra 165km,2020-08-21,18:00:00,solo,167.2,7230,-7230,8,300
Folldal,Norway,Salomon Rondane 100,2020-08-15,05:00:00,solo,163.6,5450,-5440,5,0
Golden,Canada,"Golden Ultra .5 VK ""Climb""",2020-09-18,16:00:00,solo,2.9,720,-0,1,300
Chongli,China,UTC,2020-08-14,17:00:00,solo,161.1,7370,-7370,15,600
Nikola-Lenivets,Russia,165 km,2020-08-09,21:00:00,solo,162.5,1450,-1450,13,0
LINDOME,Sweden,BBUT - 24 loops,2020-08-08,10:00:00,solo,163.7,3100,-3100,23,120
farnham,United Kingdom,Centurion North Downs Way 100,2020-08-08,06:00:00,solo,168.2,3440,-3480,14,300
Göteborg,Sweden,100 miles,2020-08-08,12:00:00,solo,161.7,1740,-1750,2,50
Hohhot,China,Laoniuwan 168km,2020-08-08,07:40:00,solo,165.2,4600,-4600,15,100
Bergen,Germany,100 Mile,2020-07-31,13:00:00,Solo,0,0,-0,9,150
PAVILLY,France,Infinity Trail - 23 boucles,2020-07-31,14:00:00,solo,155.3,5160,-5160,1,80
Ystad,Sweden,The Gax 100 miles,2020-07-25,00:00:00,solo,160.6,1510,-1510,3,72
PortMacquarie,Australia,160 Km (100 Mile),2020-07-17,20:00:00,solo,163.2,8650,-8630,13,100
Irwin,United States,Moose 100 Mile,2020-07-17,05:00:00,solo,0,0,-0,14,0
